"FIRST_NAME","SALARY","REGION_NAME","CITY","COUNTRY_NAME"
"Steven",24000,"Americas","Seattle","United States of America"
"Neena",17000,"Americas","Seattle","United States of America"
"Lex",17000,"Americas","Seattle","United States of America"
"Alexander",9000,"Americas","Southlake","United States of America"
"Bruce",6000,"Americas","Southlake","United States of America"
"David",4800,"Americas","Southlake","United States of America"
"Valli",4800,"Americas","Southlake","United States of America"
"Diana",4200,"Americas","Southlake","United States of America"
"Nancy",12008,"Americas","Seattle","United States of America"
"Daniel",9000,"Americas","Seattle","United States of America"
"John",8200,"Americas","Seattle","United States of America"
"Ismael",7700,"Americas","Seattle","United States of America"
"Jose Manuel",7800,"Americas","Seattle","United States of America"
"Luis",6900,"Americas","Seattle","United States of America"
"Den",11000,"Americas","Seattle","United States of America"
"Alexander",3100,"Americas","Seattle","United States of America"
"Shelli",2900,"Americas","Seattle","United States of America"
"Sigal",2800,"Americas","Seattle","United States of America"
"Guy",2600,"Americas","Seattle","United States of America"
"Karen",2500,"Americas","Seattle","United States of America"
"Matthew",8000,"Americas","South San Francisco","United States of America"
"Adam",8200,"Americas","South San Francisco","United States of America"
"Payam",7900,"Americas","South San Francisco","United States of America"
"Shanta",6500,"Americas","South San Francisco","United States of America"
"Kevin",5800,"Americas","South San Francisco","United States of America"
"Julia",3200,"Americas","South San Francisco","United States of America"
"Irene",2700,"Americas","South San Francisco","United States of America"
"James",2400,"Americas","South San Francisco","United States of America"
"Steven",2200,"Americas","South San Francisco","United States of America"
"Laura",3300,"Americas","South San Francisco","United States of America"
"Mozhe",2800,"Americas","South San Francisco","United States of America"
"James",2500,"Americas","South San Francisco","United States of America"
"TJ",2100,"Americas","South San Francisco","United States of America"
"Jason",3300,"Americas","South San Francisco","United States of America"
"Michael",2900,"Americas","South San Francisco","United States of America"
"Ki",2400,"Americas","South San Francisco","United States of America"
"Hazel",2200,"Americas","South San Francisco","United States of America"
"Renske",3600,"Americas","South San Francisco","United States of America"
"Stephen",3200,"Americas","South San Francisco","United States of America"
"John",2700,"Americas","South San Francisco","United States of America"
"Joshua",2500,"Americas","South San Francisco","United States of America"
"Trenna",3500,"Americas","South San Francisco","United States of America"
"Curtis",3100,"Americas","South San Francisco","United States of America"
"Randall",2600,"Americas","South San Francisco","United States of America"
"Peter",2500,"Americas","South San Francisco","United States of America"
"John",14000,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Karen",13500,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Alberto",12000,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Gerald",11000,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Eleni",10500,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Sean",10000,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"David",9500,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Peter",9000,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Christopher",8000,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Nanette",7500,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Oliver",7000,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Janette",10000,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Patrick",9500,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Allan",9000,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Lindsey",8000,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Louise",7500,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Sarath",7000,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Clara",10500,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Danielle",9500,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Mattea",7200,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"David",6800,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Sundar",6400,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
